DeviceOnlineActivityID,RMSDeviceNodeID,ApplicationId,KeyCodeId,DeviceName,Info,ApplicationMsgEnum,RequestMessage,ResponseMessage,Success,ErrorMessage,MessageSentDate,MessageReceivedDate,OnlineActivityGroupId,OnlineActivityGroupId,OnlineAction,CreatedBy,CreatedDate,RMSDeviceNodeID,KeyCodeID,KeyCodeID,Name,CodeType,Description,SequenceNumber,OldSequenceNumber,ModifiedDate,ActivityInProgress,ActivitySuccess,ActivityCompletedDate
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,False,,9/23/2024 10:20:43 AM,1/1/0001 12:00:00 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,26,0,0,219,OutgoingLockingPlanReadAuditRequest,0,,,False,,9/23/2024 10:20:40 AM,1/1/0001 12:00:00 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:20:23 AM,9/23/2024 10:20:42 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,26,0,0,219,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:20:13 AM,9/23/2024 10:20:39 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,154,0,0,501,OpenAndClose,0,,,True,None,9/23/2024 10:20:08 AM,9/23/2024 10:20:40 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:20:04 AM,9/23/2024 10:20:22 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:57 AM,9/23/2024 10:20:03 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:47 AM,9/23/2024 10:19:56 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,26,0,0,219,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:40 AM,9/23/2024 10:20:12 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:35 AM,9/23/2024 10:19:45 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,154,0,0,501,OutgoingPingRequestNotification,0,,,True,,9/23/2024 10:19:26 AM,9/23/2024 10:19:41 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:20 AM,9/23/2024 10:19:33 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,26,0,0,219,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:19:14 AM,9/23/2024 10:19:39 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,269,0,0,GATEWAY_0,Mesh Status,0,,,True,,1/1/0001 12:00:00 AM,9/23/2024 10:19:01 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,79,0,0,324,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:18:58 AM,9/23/2024 10:19:18 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
0,26,0,0,219,OutgoingLockingPlanReadAuditRequest,0,,,True,,9/23/2024 10:18:51 AM,9/23/2024 10:19:13 AM,,0,0,,1/1/0001 12:00:00 AM,,,0,,0,,0,0,1/1/0001 12:00:00 AM,False,False,
